Index Holdings and weightings as of 6:41 PM ET 09/20/2023,,,,,,,
Symbol,Company Name,Index Weight,Last,Change,%Change,Volume,52 Week Range
AMZN,Amazon.com Inc,22.69%,130.72,-4.57,-3.38%,41.74 M,81.43 - 145.86
TSLA,"Tesla, Inc",20.23%,258.28,-4.31,-1.64%,88.76 M,101.81 - 313.80
MCD,McDonald's Corp,4.50%,273.67,-3.54,-1.28%,1.02 M,230.58 - 299.35
HD,Home Depot Inc,4.29%,308.52,-2.34,-0.75%,1.21 M,265.61 - 347.25
LOW,Lowe's Cos Inc,3.98%,211.86,-3.05,-1.42%,1.36 M,176.50 - 237.21
NKE,NIKE Inc B,3.64%,92.42,-1.62,-1.72%,4.47 M,82.22 - 131.31
BKNG,Booking Holdings Inc,3.46%,3040.61,-28.31,-0.92%,0.13 M,1616.85 - 3251.71
SBUX,Starbucks Corp,3.45%,93.98,-1.19,-1.25%,2.8 M,82.43 - 115.48
TJX,TJX Cos Inc,3.29%,89.63,-1.03,-1.14%,2.24 M,59.78 - 93.78
ABNB,"Airbnb, Inc. Class A",1.86%,133.46,-4.55,-3.30%,5.04 M,81.91 - 154.95
ORLY,O'Reilly Automotive,1.81%,933.16,-12.68,-1.34%,0.14 M,680.00 - 975.72
CMG,Chipotle Mexican Grill Inc.,1.68%,1891.51,-28.98,-1.51%,0.1 M,1344.05 - 2175.01
MAR,Marriott Intl A,1.58%,196.67,-3.20,-1.60%,0.87 M,135.90 - 210.98
F,Ford Motor Co,1.54%,12.23,-0.14,-1.09%,24.51 M,10.90 - 15.42
AZO,AutoZone Inc,1.48%,2545.48,-37.88,-1.47%,0.1 M,2050.21 - 2750.00
GM,General Motors Company,1.44%,33.05,-0.15,-0.45%,5.48 M,31.11 - 43.63
HLT,Hilton Worldwide Holdings  Inc,1.26%,149.39,-3.36,-2.20%,0.62 M,116.39 - 157.14
ROST,Ross Stores Inc,1.24%,113.62,-1.33,-1.16%,1.17 M,81.21 - 122.70
YUM,Yum! Brands Inc,1.13%,125.59,-1.46,-1.15%,0.49 M,103.97 - 143.25
DHI,Horton D.R. Inc,1.09%,109.99,-3.21,-2.84%,2.53 M,66.01 - 132.30
LEN,Lennar Corp A,0.93%,114.00,-2.53,-2.17%,1.64 M,69.90 - 133.24
APTV,Aptiv plc,0.91%,98.46,-3.40,-3.33%,0.79 M,77.96 - 124.88
EBAY,eBay Inc.,0.74%,43.04,-0.65,-1.49%,2.24 M,35.92 - 52.23
RCL,Royal Caribbean Group,0.72%,95.28,-0.93,-0.97%,1.28 M,36.92 - 112.95
TSCO,Tractor Supply Co,0.71%,205.33,-2.22,-1.07%,0.62 M,181.40 - 251.17
GPC,Genuine Parts Co,0.66%,147.09,-2.17,-1.45%,0.23 M,145.30 - 187.73
ULTA,"Ulta Beauty, Inc",0.65%,406.39,-4.92,-1.20%,0.32 M,373.80 - 556.60
NVR,NVR Inc,0.63%,5959.00,-173.13,-2.82%,0.01 M,3816.56 - 6525.00
DRI,Darden Restaurants Inc,0.57%,148.47,-0.99,-0.66%,1.3 M,120.20 - 173.06
PHM,Pulte Group Inc,0.53%,74.19,-2.26,-2.96%,1.51 M,35.99 - 86.16
GRMN,Garmin Ltd,0.52%,105.58,-1.20,-1.12%,0.2 M,76.37 - 108.56
LVS,Las Vegas Sands,0.50%,46.16,-1.75,-3.65%,5.38 M,33.38 - 65.58
CCL,Carnival Corp,0.47%,14.66,+0.01,+0.03%,14.58 M,6.11 - 19.55
EXPE,"Expedia Group, Inc.",0.45%,102.75,-1.54,-1.48%,0.84 M,82.39 - 124.95
BBY,Best Buy Co Inc,0.43%,70.58,-0.17,-0.24%,0.95 M,60.79 - 93.32
POOL,Pool Corp,0.43%,348.79,+1.17,+0.34%,0.18 M,278.10 - 423.97
DPZ,Domino's Pizza Inc,0.43%,379.39,-5.46,-1.42%,0.17 M,285.84 - 409.95
LKQ,LKQ Corp,0.43%,49.89,-0.49,-0.97%,0.38 M,46.20 - 59.38
KMX,Carmax Inc,0.41%,80.33,-1.10,-1.34%,0.78 M,52.10 - 87.50
MGM,MGM Resorts International,0.34%,37.83,-0.94,-2.42%,2.42 M,29.20 - 51.35
CZR,"Caesars Entertainment, Inc.",0.34%,48.13,-2.04,-4.07%,1.47 M,31.31 - 60.27
BWA,Borgwarner Inc,0.31%,40.35,-0.83,-2.02%,0.67 M,26.61 - 47.05
WYNN,Wynn Resorts Ltd,0.29%,91.05,-2.64,-2.82%,1.36 M,53.81 - 117.86
HAS,Hasbro Inc,0.27%,66.50,-0.16,-0.24%,0.38 M,45.75 - 77.40
BBWI,Bath & Body Works Inc,0.25%,34.49,-0.50,-1.43%,1.33 M,30.52 - 49.55
ETSY,"Etsy, Inc.",0.25%,64.85,+0.16,+0.25%,2.26 M,62.89 - 149.91
WHR,Whirlpool Corp,0.24%,133.90,-2.46,-1.80%,0.14 M,124.10 - 160.74
NCLH,Norwegian Cruise Line Holdings Ltd,0.23%,16.98,-0.19,-1.11%,6.27 M,10.83 - 22.75
TPR,"Tapestry, Inc",0.22%,29.44,-0.57,-1.90%,1.46 M,27.53 - 47.48
VFC,VF Corp,0.19%,17.66,-0.22,-1.20%,4.07 M,16.77 - 38.99
MHK,Mohawk Industries Inc,0.15%,90.00,-1.54,-1.68%,0.29 M,87.02 - 130.63
RL,Ralph Lauren Corp A,0.15%,112.55,-2.52,-2.19%,0.24 M,82.23 - 135.76
