Index Holdings and weightings as of 6:41 PM ET 09/20/2023,,,,,,,
Symbol,Company Name,Index Weight,Last,Change,%Change,Volume,52 Week Range
PG,Procter & Gamble,14.76%,153.05,-0.42,-0.27%,1.86 M,122.18 - 158.38
COST,Costco Wholesale Corp,10.19%,556.90,-6.93,-1.23%,0.72 M,447.90 - 571.16
PEP,PepsiCo Inc,10.02%,175.75,-2.63,-1.47%,2.44 M,160.98 - 196.88
WMT,Walmart Inc.,9.54%,162.72,-1.19,-0.73%,3.21 M,128.07 - 165.85
PM,Philip Morris International,4.68%,96.33,-1.38,-1.41%,1.62 M,82.85 - 105.62
MDLZ,Mondelez International Inc,4.59%,71.24,-0.40,-0.56%,1.64 M,54.72 - 78.59
KO,Coca-Cola Co,4.50%,57.54,-0.91,-1.55%,8.34 M,54.02 - 64.99
MO,Altria Group Inc,3.59%,42.97,-0.08,-0.17%,2.89 M,40.35 - 51.57
CL,Colgate-Palmolive Co,2.87%,73.57,-0.19,-0.26%,1.5 M,67.84 - 82.09
TGT,Target Corp,2.61%,117.98,-2.44,-2.02%,2.1 M,118.55 - 181.70
ADM,Archer-Daniels-Midland Co,2.00%,79.07,-0.31,-0.39%,0.84 M,69.92 - 98.28
KMB,Kimberly-Clark,1.99%,125.97,+1.04,+0.83%,0.91 M,108.74 - 147.87
STZ,Constellation Brands Inc A,1.99%,258.25,-3.65,-1.39%,0.28 M,208.12 - 273.65
MNST,Monster Beverage Corp New,1.95%,54.94,-0.82,-1.47%,3.9 M,42.81 - 60.47
GIS,General Mills Inc,1.81%,65.91,+0.04,+0.05%,3.01 M,64.53 - 90.89
KVUE,Kenvue Inc.,1.69%,21.23,+0.34,+1.60%,12.76 M,20.38 - 27.80
SYY,Sysco Corp,1.68%,69.86,-0.73,-1.03%,1.14 M,68.18 - 87.41
EL,Estee Lauder Cos. A,1.65%,146.44,-4.40,-2.92%,1.8 M,147.18 - 283.62
KDP,Keurig Dr Pepper Inc,1.60%,33.61,-0.16,-0.47%,5.09 M,30.47 - 39.73
HSY,Hershey Foods Corp,1.49%,209.44,-1.90,-0.90%,0.55 M,206.69 - 276.88
KR,Kroger Co,1.43%,45.65,-0.53,-1.15%,2.12 M,41.82 - 50.41
KHC,The Kraft Heinz Company,1.28%,34.44,+0.42,+1.22%,4.15 M,32.42 - 42.80
DG,Dollar General Corp,1.19%,112.07,-3.59,-3.10%,2.12 M,112.00 - 261.59
CHD,Church & Dwight Co,1.10%,95.44,+0.33,+0.35%,0.51 M,70.16 - 100.52
DLTR,Dollar Tree Inc,1.10%,106.69,-4.62,-4.15%,1.37 M,109.42 - 170.36
MKC,McCormick & Co,0.93%,78.04,-0.52,-0.66%,0.39 M,70.60 - 94.39
BG,Bunge Ltd,0.80%,114.12,+1.53,+1.35%,0.46 M,80.41 - 116.59
CLX,Clorox Co,0.80%,135.86,-0.61,-0.44%,0.69 M,124.58 - 178.21
K,Kellogg Co,0.75%,60.94,+0.19,+0.30%,1.21 M,58.82 - 77.17
WBA,Walgreens Boots Alliance Inc,0.74%,21.65,-0.19,-0.87%,4.11 M,21.39 - 42.29
TSN,Tyson Foods Inc A,0.72%,52.87,-0.45,-0.84%,1.01 M,47.11 - 74.07
LW,Lamb Weston Holdings Inc,0.67%,96.64,-1.49,-1.52%,0.55 M,76.21 - 117.38
CAG,"Conagra Brands, Inc",0.65%,29.19,+0.27,+0.92%,1.54 M,28.35 - 41.30
SJM,J.M. Smucker Co,0.62%,129.55,+1.29,+1.01%,0.62 M,125.23 - 163.07
TAP,Molson Coors Beverage Co B,0.57%,64.32,-0.45,-0.69%,0.42 M,46.69 - 70.90
BF.b,Brown-Forman Corp B,0.54%,61.29,-1.86,-2.95%,0.64 M,60.90 - 74.76
HRL,Hormel Foods Corp,0.53%,39.42,+0.63,+1.62%,1.16 M,36.78 - 49.73
CPB,Campbell Soup Co,0.40%,43.13,+0.45,+1.05%,1.74 M,40.76 - 57.78
