Index Holdings and weightings as of 6:41 PM ET 09/20/2023,,,,,,,
Symbol,Company Name,Index Weight,Last,Change,%Change,Volume,52 Week Range
XOM,Exxon Mobil Corp,23.42%,115.80,-0.60,-0.52%,7.19 M,83.89 - 119.92
CVX,Chevron Corp,18.56%,166.22,-0.47,-0.28%,3.48 M,140.46 - 189.68
EOG,EOG Resources,4.58%,123.73,-1.77,-1.41%,1.88 M,98.52 - 150.88
SLB,Schlumberger Ltd,4.52%,59.12,-0.67,-1.12%,3.36 M,33.80 - 62.78
COP,ConocoPhillips,4.49%,120.19,-0.99,-0.81%,1.86 M,91.53 - 138.49
MPC,Marathon Petroleum Corp.,4.36%,155.52,+2.85,+1.87%,2.46 M,89.40 - 157.99
PSX,Phillips 66,3.82%,120.68,+0.61,+0.51%,1.59 M,74.02 - 125.19
PXD,Pioneer Natural Resources,3.81%,224.49,-4.29,-1.87%,1.26 M,177.27 - 274.70
VLO,Valero Energy Corp,3.60%,147.81,+4.84,+3.39%,4.38 M,97.73 - 160.16
HES,Hess Corp,3.08%,152.61,-3.68,-2.35%,0.85 M,100.34 - 165.43
OXY,Occidental Petroleum,3.04%,63.17,-1.09,-1.69%,5.22 M,55.51 - 76.11
WMB,The Williams Companies Inc,2.98%,33.74,-0.55,-1.60%,2.29 M,27.80 - 35.46
HAL,Halliburton Co,2.65%,40.93,-0.36,-0.87%,2.59 M,23.30 - 43.42
BKR,Baker Hughes Company,2.58%,35.44,-0.36,-1.01%,2.69 M,20.42 - 37.58
KMI,Kinder Morgan Inc,2.33%,16.70,-0.17,-0.98%,5.3 M,16.00 - 19.36
DVN,Devon Energy Corp,2.19%,46.66,-1.23,-2.56%,8.19 M,44.03 - 78.82
OKE,ONEOK Inc,2.14%,66.58,-0.43,-0.64%,4.15 M,50.50 - 71.57
FANG,Diamondback Energy Inc,1.95%,152.57,-0.32,-0.21%,1.27 M,110.97 - 168.95
CTRA,Coterra Energy Inc,1.46%,26.31,-0.61,-2.27%,3.89 M,22.25 - 31.76
TRGP,Targa Resources Corp,1.36%,84.18,-1.25,-1.46%,0.59 M,57.23 - 87.86
MRO,Marathon Oil Corp,1.13%,26.06,-0.09,-0.34%,6.69 M,20.57 - 33.42
EQT,EQT Corporation,1.03%,39.29,-0.71,-1.78%,2.78 M,28.11 - 48.07
APA,APA Corporation,0.91%,40.58,-0.70,-1.70%,1.61 M,30.67 - 50.58
