Index Holdings and weightings as of 6:41 PM ET 09/20/2023,,,,,,,
Symbol,Company Name,Index Weight,Last,Change,%Change,Volume,52 Week Range
BRK.b,Berkshire Hathaway B,13.97%,364.23,-2.60,-0.71%,1.54 M,259.85 - 373.34
JPM,JP Morgan Chase & Co,9.00%,147.62,-0.69,-0.46%,4.14 M,101.28 - 159.38
V,Visa Inc A,8.11%,237.84,-4.02,-1.66%,3.49 M,174.60 - 250.58
MA,Mastercard Inc A,7.13%,404.82,-5.70,-1.39%,1.13 M,276.87 - 418.60
BAC,Bank of America Corp,4.12%,28.18,-0.37,-1.30%,19.57 M,26.32 - 38.60
WFC,Wells Fargo & Co,3.27%,42.74,-0.14,-0.31%,6.6 M,35.25 - 48.84
SPGI,S&P Global Inc,2.62%,375.12,-11.13,-2.88%,0.54 M,279.32 - 428.65
MS,Morgan Stanley,2.32%,85.49,-1.65,-1.89%,2.93 M,74.67 - 100.99
GS,Goldman Sachs Group Inc,2.32%,332.48,-4.22,-1.25%,0.79 M,287.75 - 389.58
MMC,Marsh & McLennan Companies,2.04%,195.86,-1.61,-0.82%,0.56 M,148.11 - 199.20
BLK,BlackRock Inc,2.00%,671.25,-12.23,-1.79%,0.27 M,503.12 - 785.65
AXP,American Express Co,1.91%,155.44,-1.79,-1.14%,0.99 M,130.65 - 182.15
CB,Chubb Limited,1.83%,213.33,-0.43,-0.20%,0.68 M,173.78 - 231.37
SCHW,Charles Schwab Corp,1.76%,56.31,-0.36,-0.64%,4.79 M,45.00 - 86.63
PGR,Progressive Corp,1.74%,142.89,+0.20,+0.14%,2.41 M,110.04 - 149.87
C,Citigroup Inc,1.70%,41.97,-0.33,-0.78%,6.83 M,40.01 - 53.23
BX,Blackstone Inc.,1.69%,111.51,-2.71,-2.37%,3.57 M,71.72 - 116.78
CME,CME Group Inc A,1.55%,203.30,-2.61,-1.27%,0.59 M,166.55 - 209.31
FI,Fiserv Inc,1.52%,117.70,-1.99,-1.66%,1.32 M,91.55 - 130.74
AON,Aon plc,1.45%,337.82,-4.20,-1.23%,0.28 M,266.35 - 347.37
PYPL,PayPal Holdings Inc.,1.40%,58.87,-1.99,-3.27%,9.79 M,57.29 - 95.64
ICE,Intercontinental Exchange Inc,1.38%,112.89,-2.46,-2.13%,0.93 M,88.60 - 118.79
USB,US Bancorp,1.12%,33.52,-0.89,-2.59%,6.66 M,27.27 - 49.95
MCO,Moody's Corp,1.11%,326.76,-9.09,-2.71%,0.27 M,230.16 - 363.19
AJG,Arthur J. Gallagher & Co,1.06%,233.19,-2.00,-0.85%,0.43 M,167.93 - 237.64
PNC,PNC Finl Services Group,1.03%,122.83,-1.12,-0.90%,0.75 M,110.31 - 170.28
AIG,American Intl Group Inc,0.93%,61.47,-0.85,-1.36%,1.27 M,45.66 - 64.88
MSCI,MSCI Inc,0.88%,520.08,-14.96,-2.80%,0.2 M,385.00 - 572.50
MET,Metlife Inc,0.87%,64.98,-1.12,-1.69%,2.12 M,48.95 - 77.36
AFL,AFLAC Inc,0.87%,76.30,-0.86,-1.11%,0.95 M,56.03 - 78.43
TRV,Travelers Cos Inc,0.81%,169.38,+0.44,+0.26%,0.59 M,149.65 - 194.51
COF,Capital One Financial,0.80%,99.69,-0.87,-0.87%,0.66 M,83.93 - 123.09
TFC,Truist Financial Corp,0.79%,28.28,-0.09,-0.32%,5.65 M,25.56 - 53.34
PRU,Prudential Financial Inc,0.75%,97.15,-1.78,-1.80%,0.66 M,75.37 - 110.96
AMP,Ameriprise Financial Inc,0.74%,339.75,-5.24,-1.52%,0.17 M,249.35 - 358.02
FIS,Fidelity National Information,0.72%,57.08,-1.07,-1.83%,1.84 M,48.57 - 85.18
BK,The Bank of New York Mellon Corp,0.71%,43.33,-0.38,-0.86%,1.49 M,36.22 - 52.26
GPN,Global Payments Inc,0.67%,120.51,-2.18,-1.78%,0.58 M,92.27 - 129.70
ACGL,Arch Capital Group Ltd,0.63%,80.78,-0.54,-0.66%,0.92 M,41.05 - 84.83
ALL,Allstate Corp,0.62%,114.37,+0.22,+0.19%,0.83 M,100.57 - 142.15
TROW,T Rowe Price Group Inc,0.51%,106.90,-1.78,-1.64%,0.76 M,93.53 - 134.64
HIG,Hartford Finl Services Group,0.47%,73.00,-0.95,-1.28%,0.51 M,60.17 - 79.44
WTW,Willis Towers Watson PLC,0.47%,211.89,-2.89,-1.35%,0.19 M,195.29 - 258.93
STT,State Street Corp,0.46%,68.95,-0.74,-1.06%,0.59 M,58.62 - 94.74
DFS,Discover Financial Services,0.46%,88.35,-0.31,-0.35%,0.69 M,87.45 - 122.50
MTB,M&T Bank Corp,0.44%,126.87,+0.25,+0.20%,0.51 M,109.36 - 192.56
FLT,FleetCor Technologies Inc,0.42%,270.98,-4.20,-1.53%,0.17 M,161.69 - 278.35
RJF,Raymond James Financial Inc,0.42%,102.73,-3.78,-3.55%,0.87 M,82.00 - 126.00
FITB,Fifth Third Bancorp (OH),0.38%,26.59,-0.22,-0.82%,2.67 M,22.11 - 38.06
BRO,Brown & Brown Inc,0.36%,72.72,-1.12,-1.52%,0.38 M,52.82 - 74.57
CINF,Cincinnati Financial Corp,0.36%,107.88,-1.64,-1.50%,0.25 M,88.66 - 130.66
NDAQ,Nasdaq Inc,0.36%,49.22,-1.36,-2.68%,1.04 M,48.65 - 69.22
PFG,Principal Financial Group,0.36%,75.77,-1.26,-1.64%,0.33 M,65.17 - 96.17
EG,Everest Group Ltd,0.36%,392.45,+0.46,+0.12%,0.15 M,244.58 - 395.00
RF,Regions Financial Corp,0.35%,17.60,-0.22,-1.21%,4.16 M,13.94 - 24.33
CBOE,"Cboe Global Markets, Inc",0.34%,155.14,+0.01,+0.01%,0.26 M,114.17 - 158.71
FDS,FactSet Research System Inc,0.34%,425.06,+1.29,+0.30%,0.55 M,377.89 - 474.13
HBAN,Huntington Bancshares (OH),0.32%,10.45,-0.05,-0.48%,6.89 M,9.13 - 15.74
NTRS,Northern Trust Corp (IL),0.30%,69.60,-0.28,-0.39%,0.55 M,69.54 - 100.25
SYF,Synchrony Financial,0.28%,32.02,-0.15,-0.45%,1.06 M,26.59 - 40.89
WRB,WR Berkley Corp,0.28%,65.31,-0.34,-0.52%,0.51 M,55.50 - 76.99
CFG,Citizens Financial Group Inc,0.27%,27.24,-0.29,-1.04%,2.17 M,23.37 - 44.82
L,Loews Corp,0.25%,64.40,-0.58,-0.89%,0.34 M,49.36 - 65.39
JKHY,Jack Henry & Associates Inc.,0.23%,149.59,-3.30,-2.16%,0.12 M,139.28 - 202.66
KEY,KeyCorp,0.22%,10.80,-0.24,-2.17%,10.42 M,8.54 - 20.30
GL,Globe Life Inc.,0.20%,110.08,-0.81,-0.73%,0.15 M,97.83 - 123.85
MKTX,MarketAxess Holdings,0.18%,216.86,-6.41,-2.87%,0.18 M,217.44 - 399.78
AIZ,Assurant Inc,0.16%,143.16,+1.46,+1.03%,0.15 M,104.49 - 155.45
BEN,Franklin Resources Inc,0.15%,25.39,-0.52,-2.01%,0.9 M,20.24 - 34.37
IVZ,Invesco Ltd,0.14%,14.77,-0.29,-1.89%,2.76 M,13.20 - 20.56
CMA,Comerica Inc (MI),0.12%,41.62,-0.26,-0.61%,1.09 M,28.40 - 80.21
ZION,Zions Bancorporation N.A.,0.11%,34.47,-0.83,-2.35%,1.53 M,18.26 - 58.89
