Index Holdings and weightings as of 6:41 PM ET 09/20/2023,,,,,,,
Symbol,Company Name,Index Weight,Last,Change,%Change,Volume,52 Week Range
CAT,Caterpillar Inc,4.65%,274.51,-4.10,-1.47%,1.24 M,160.60 - 293.88
UNP,Union Pacific Corp,4.25%,212.20,-0.78,-0.37%,0.96 M,183.69 - 240.48
HON,Honeywell Intl Inc,4.23%,192.77,-1.68,-0.86%,1.24 M,166.63 - 220.96
GE,General Electric Co,4.09%,113.72,-1.13,-0.98%,2.37 M,48.07 - 117.96
BA,Boeing Co,3.76%,201.01,-1.36,-0.67%,2.79 M,120.99 - 243.10
UPS,United Parcel Service Inc B,3.73%,156.06,-1.58,-1.00%,1.82 M,154.87 - 197.80
DE,Deere & Co,3.59%,389.91,-12.42,-3.09%,1.4 M,328.62 - 450.00
RTX,RTX Corporation,3.55%,72.98,-1.45,-1.95%,6.39 M,73.62 - 108.84
ADP,Automatic Data Processing,3.29%,240.06,-3.81,-1.56%,0.52 M,201.46 - 274.92
LMT,Lockheed Martin,3.13%,419.70,-7.26,-1.70%,0.91 M,381.55 - 508.10
ETN,Eaton Corp plc,2.80%,211.76,-2.89,-1.35%,1.02 M,129.85 - 240.44
ITW,Illinois Tool Works Inc,2.13%,233.77,-2.43,-1.03%,0.46 M,180.27 - 264.19
CSX,CSX Corporation,2.06%,31.27,-0.05,-0.14%,7.07 M,25.80 - 34.38
NOC,Northrop Grumman Corp,2.05%,437.42,-2.76,-0.63%,0.4 M,416.71 - 556.27
WM,Waste Management Inc,1.93%,158.56,-1.49,-0.93%,0.83 M,148.31 - 173.71
FDX,FedEx Corp,1.90%,262.69,+12.17,+4.86%,5.3 M,141.92 - 270.95
EMR,Emerson Electric Co,1.83%,97.02,-0.99,-1.01%,0.87 M,72.41 - 100.62
MMM,3M Co,1.79%,98.27,-0.72,-0.72%,1.52 M,92.38 - 133.91
GD,General Dynamics,1.67%,223.62,-1.93,-0.86%,0.45 M,202.35 - 256.86
PH,Parker-Hannifin Corp,1.64%,384.75,-5.72,-1.46%,0.24 M,235.69 - 428.16
TDG,TransDigm Group,1.54%,848.11,-6.24,-0.73%,0.11 M,499.63 - 940.00
NSC,Norfolk Southern Corp,1.53%,203.31,-1.99,-0.97%,0.54 M,194.05 - 261.71
TT,Trane Technologies plc,1.50%,199.37,-1.87,-0.93%,0.39 M,139.07 - 211.58
CARR,Carrier Global Corp.,1.48%,52.88,-0.95,-1.76%,2.57 M,33.10 - 60.04
PCAR,PACCAR Inc,1.46%,84.28,-0.97,-1.14%,0.64 M,54.64 - 90.05
CTAS,Cintas Corp,1.46%,508.92,-5.61,-1.09%,0.12 M,370.93 - 524.76
JCI,Johnson Controls International plc,1.26%,55.66,-0.85,-1.50%,1.88 M,48.82 - 70.43
CPRT,Copart Inc,1.25%,43.47,-0.56,-1.26%,1.43 M,26.14 - 47.39
PAYX,Paychex Inc,1.21%,114.06,-1.60,-1.38%,0.67 M,104.09 - 129.70
ODFL,Old Dominion Freight Line Inc,1.20%,402.26,-5.63,-1.38%,0.29 M,240.00 - 438.05
VRSK,Verisk Analytics Inc,1.17%,242.50,-3.83,-1.55%,0.49 M,162.94 - 249.26
AME,AMETEK Inc,1.14%,151.33,-0.08,-0.05%,0.59 M,110.87 - 164.75
OTIS,Otis Worldwide Corp,1.10%,81.57,-0.13,-0.16%,1.54 M,62.49 - 91.33
LHX,L3Harris Technologies Inc,1.08%,174.33,-0.32,-0.18%,0.71 M,167.14 - 255.10
CMI,Cummins Inc,1.08%,229.96,-2.84,-1.22%,0.31 M,200.40 - 265.28
ROK,Rockwell Automation Inc,1.07%,280.87,-4.30,-1.51%,0.54 M,209.27 - 348.52
FAST,Fastenal Co,1.02%,54.34,+0.06,+0.11%,1.31 M,43.73 - 59.43
RSG,Republic Services Inc,1.00%,148.21,-1.09,-0.73%,0.36 M,120.58 - 156.65
URI,United Rentals Inc,1.00%,438.63,-9.40,-2.10%,0.5 M,256.23 - 492.33
GWW,W.W. Grainger Inc,1.00%,688.55,+3.56,+0.52%,0.12 M,483.19 - 811.60
PWR,Quanta Services Inc,0.93%,189.00,-6.25,-3.20%,0.63 M,123.25 - 212.82
FTV,Fortive Corp,0.86%,74.53,-0.53,-0.70%,0.33 M,57.43 - 79.90
IR,Ingersoll Rand Inc.,0.86%,64.36,-0.66,-1.02%,1.32 M,42.20 - 70.65
DAL,Delta Air Lines,0.82%,38.63,-0.25,-0.64%,4.45 M,27.20 - 49.81
EFX,Equifax Inc,0.78%,187.36,-6.99,-3.60%,0.44 M,145.98 - 240.35
XYL,Xylem Inc,0.74%,92.08,-1.49,-1.59%,1.1 M,84.16 - 118.58
BR,Broadridge Financial Solutions Inc.,0.71%,184.36,-0.13,-0.07%,0.25 M,131.35 - 189.69
DOV,Dover Corp,0.66%,142.45,-1.05,-0.73%,0.38 M,114.49 - 160.66
WAB,Wabtec,0.63%,105.99,-1.15,-1.07%,0.2 M,79.33 - 119.70
HWM,Howmet Aerospace Inc.,0.60%,46.69,+0.15,+0.32%,0.92 M,30.60 - 51.34
LUV,Southwest Airlines Co,0.56%,28.60,+0.08,+0.26%,2.9 M,28.37 - 40.38
EXPD,Expeditors Intl of WA Inc,0.56%,113.99,-0.85,-0.74%,0.34 M,86.08 - 128.05
J,Jacobs Solutions Inc.,0.55%,132.03,-1.14,-0.86%,0.32 M,106.78 - 137.61
IEX,IDEX Corp,0.52%,208.94,-1.00,-0.48%,0.24 M,195.27 - 246.23
JBHT,J.B. Hunt Transport Services,0.52%,191.18,-2.50,-1.29%,0.33 M,156.28 - 209.21
TXT,Textron Inc,0.51%,78.44,-0.94,-1.18%,0.98 M,58.03 - 80.60
UAL,"United Airlines Holding, Inc",0.48%,44.21,-0.15,-0.33%,2.99 M,31.58 - 58.23
AXON,Axon Enterprise Inc,0.47%,196.62,-6.73,-3.31%,0.27 M,109.31 - 229.95
SNA,Snap On Inc,0.44%,256.08,+0.35,+0.14%,0.09 M,200.75 - 297.26
PAYC,Paycom Software Inc,0.43%,264.57,-3.91,-1.46%,0.29 M,262.12 - 374.04
SWK,Stanley Black & Decker,0.43%,85.20,-0.91,-1.06%,0.67 M,70.24 - 104.21
LDOS,Leidos Holdings Inc,0.42%,93.29,-0.56,-0.60%,0.19 M,76.58 - 110.91
NDSN,Nordson Corp,0.40%,224.96,-2.82,-1.24%,0.1 M,202.57 - 253.40
MAS,Masco Corp,0.40%,54.14,-0.43,-0.79%,0.71 M,42.33 - 63.86
PNR,Pentair PLC,0.36%,65.35,-0.77,-1.16%,0.34 M,38.55 - 71.82
CDAY,Ceridian HCM Holding Inc.,0.35%,66.48,-1.80,-2.64%,0.98 M,51.52 - 79.66
CHRW,CH Robinson Worldwide Inc,0.33%,87.46,-0.13,-0.14%,0.27 M,85.23 - 108.05
ROL,Rollins Inc,0.31%,38.16,-0.53,-1.36%,1.03 M,34.20 - 45.04
ALLE,Allegion plc,0.30%,104.39,+0.14,+0.13%,0.27 M,87.33 - 128.36
AAL,American Airlines Group Inc.,0.28%,13.23,+0.17,+1.26%,18.25 M,11.65 - 19.08
AOS,A.O. Smith Corp,0.27%,65.69,-0.66,-0.99%,0.37 M,46.58 - 76.95
HII,Huntington Ingalls Industries Inc.,0.27%,201.43,-4.15,-2.02%,0.3 M,188.51 - 260.02
RHI,Robert Half Inc,0.26%,74.06,-0.27,-0.36%,0.23 M,64.65 - 89.78
GNRC,Generac Holdings Inc,0.22%,109.84,-0.38,-0.34%,0.49 M,86.29 - 193.24
ALK,Alaska Air Group Inc,0.16%,38.60,-0.01,-0.03%,0.61 M,37.20 - 57.18
