Index Holdings and weightings as of 6:41 PM ET 09/20/2023,,,,,,,
Symbol,Company Name,Index Weight,Last,Change,%Change,Volume,52 Week Range
LIN,Linde plc,20.59%,373.97,-4.85,-1.28%,0.66 M,262.47 - 393.67
APD,Air Products & Chemicals Inc,7.29%,289.39,-5.44,-1.84%,0.31 M,224.75 - 328.56
SHW,Sherwin-Williams Co,6.85%,256.38,-3.43,-1.32%,0.43 M,195.24 - 283.80
FCX,Freeport-McMoRan Inc,6.18%,37.71,-0.99,-2.55%,6.8 M,26.03 - 46.73
ECL,Ecolab Inc,5.02%,173.50,-4.04,-2.27%,0.38 M,131.04 - 191.41
NUE,Nucor Corp,4.30%,152.64,-2.75,-1.77%,0.55 M,102.86 - 182.68
DOW,Dow Inc,4.11%,51.60,-0.86,-1.64%,1.53 M,42.91 - 60.88
CTVA,Corteva Inc.,4.09%,51.45,-0.32,-0.62%,1.42 M,48.68 - 68.43
DD,DuPont de Nemours Inc.,3.78%,73.28,-0.73,-0.98%,0.91 M,49.52 - 78.74
NEM,Newmont Corp,3.62%,40.71,-0.25,-0.60%,3.78 M,37.45 - 60.08
PPG,PPG Industries Inc,3.43%,128.88,-1.92,-1.47%,0.59 M,107.40 - 152.89
VMC,Vulcan Materials Co,3.10%,203.54,-6.01,-2.87%,1.01 M,147.64 - 229.75
MLM,Martin Marietta Materials,2.90%,407.98,-12.94,-3.07%,0.27 M,298.32 - 463.41
LYB,LyondellBasell Industries N.V.,2.77%,95.95,-1.08,-1.11%,1.38 M,71.46 - 102.05
ALB,Albemarle Corp,2.28%,170.26,-4.18,-2.40%,1.31 M,171.82 - 334.55
IFF,Intl Flavors & Fragrances,1.99%,68.95,-0.24,-0.35%,1.21 M,62.11 - 118.34
BALL,Ball Corp,1.82%,50.43,-1.53,-2.94%,0.69 M,46.00 - 62.14
CF,CF Industries Holdings,1.80%,84.13,+0.48,+0.57%,1.1 M,60.08 - 112.44
STLD,Steel Dynamics Inc,1.74%,100.27,+0.02,+0.02%,0.69 M,69.12 - 136.46
AVY,Avery Dennison Corp,1.65%,182.00,-1.67,-0.91%,0.26 M,157.28 - 195.95
AMCR,Amcor plc,1.52%,9.19,-0.08,-0.81%,2.82 M,9.13 - 12.78
PKG,Packaging Corp of America,1.50%,150.53,+0.41,+0.27%,0.22 M,110.56 - 158.66
CE,Celanese Corp A,1.43%,125.81,-2.18,-1.70%,0.43 M,86.71 - 131.05
MOS,Mosaic Co,1.37%,37.43,+0.38,+1.03%,2.5 M,31.44 - 57.46
IP,Intl Paper Co,1.30%,34.20,+0.48,+1.42%,2.61 M,29.01 - 41.89
EMN,Eastman Chemical Co,1.04%,77.13,-1.29,-1.64%,0.3 M,69.91 - 92.21
WRK,WestRock Co,1.01%,35.38,-0.15,-0.42%,1.5 M,26.84 - 39.30
FMC,FMC Corp,0.99%,70.11,-0.87,-1.23%,0.64 M,70.91 - 134.38
SEE,Sealed Air Corp,0.53%,32.23,-0.92,-2.76%,0.82 M,33.07 - 56.43
