Index Holdings and weightings as of 6:41 PM ET 09/20/2023,,,,,,,
Symbol,Company Name,Index Weight,Last,Change,%Change,Volume,52 Week Range
PLD,ProLogis Inc,12.35%,115.59,-5.32,-4.40%,1.74 M,98.03 - 136.67
AMT,American Tower Corp A,9.14%,172.69,-4.72,-2.66%,1.06 M,172.55 - 242.44
EQIX,Equinix Inc,7.84%,738.99,-18.72,-2.47%,0.15 M,494.89 - 821.63
WELL,Welltower Inc,4.89%,84.24,-1.02,-1.20%,1.11 M,56.50 - 86.72
PSA,Public Storage,4.74%,264.58,-6.19,-2.29%,0.29 M,266.01 - 316.48
CCI,Crown Castle Inc.,4.64%,94.74,-2.00,-2.07%,2.37 M,95.73 - 164.23
DLR,Digital Realty Trust,4.29%,124.63,-3.44,-2.69%,1.03 M,85.76 - 133.39
O,Realty Income Corp,4.22%,52.64,-1.16,-2.16%,2.97 M,53.65 - 68.85
SPG,Simon Property Group A,4.12%,112.85,-0.91,-0.80%,1.1 M,86.02 - 133.08
CSGP,Costar Group Inc,3.66%,78.77,-2.36,-2.91%,0.83 M,65.12 - 92.36
VICI,VICI Properties Inc.,3.44%,30.36,-0.30,-0.98%,2.01 M,28.49 - 35.07
EXR,Extra Space Storage Inc,2.98%,124.51,-3.03,-2.38%,0.49 M,123.67 - 182.18
AVB,AvalonBay Communities Inc,2.87%,180.66,-2.03,-1.11%,0.24 M,153.07 - 198.66
CBRE,CBRE Group Inc.,2.68%,75.64,-2.45,-3.14%,0.67 M,66.31 - 89.58
SBAC,SBA Communications Corp,2.58%,208.49,-6.49,-3.02%,0.27 M,210.93 - 312.34
WY,Weyerhaeuser Co,2.57%,31.30,-0.45,-1.42%,1.66 M,27.37 - 36.00
EQR,Equity Residential,2.38%,61.68,-0.75,-1.19%,0.37 M,54.60 - 70.56
INVH,Invitation Homes,2.16%,33.37,-0.59,-1.74%,1.2 M,28.52 - 36.54
IRM,Iron Mountain Inc,2.05%,62.08,-1.38,-2.17%,0.85 M,43.33 - 64.48
VTR,Ventas Inc,1.96%,43.30,-0.68,-1.55%,0.8 M,35.33 - 53.15
ARE,Alexandria Real Estate Eqty,1.93%,104.47,-7.77,-6.92%,1.04 M,108.81 - 172.65
MAA,Mid-America Apt Communties,1.76%,133.36,-3.34,-2.44%,0.22 M,135.50 - 176.36
ESS,Essex Property Trust,1.59%,220.98,-2.89,-1.29%,0.22 M,195.03 - 254.11
HST,Host Hotels & Resorts Inc,1.27%,15.97,-0.23,-1.42%,1.83 M,14.51 - 19.42
UDR,UDR Inc,1.27%,37.01,-0.93,-2.44%,1.24 M,37.18 - 45.46
KIM,Kimco Realty Corp,1.26%,18.20,-0.25,-1.34%,1.88 M,17.34 - 23.27
CPT,Camden Property Trust,1.21%,100.21,-2.00,-1.95%,0.21 M,97.74 - 127.60
PEAK,Healthpeak Properties Inc.,1.20%,19.34,-0.57,-2.84%,2.51 M,19.09 - 28.43
REG,Regency Centers Corp,1.13%,61.96,-0.51,-0.82%,0.18 M,51.97 - 68.56
BXP,Boston Properties Inc,1.05%,62.03,-3.53,-5.38%,1 M,46.18 - 80.68
FRT,Federal Realty Invt Trust,0.79%,95.75,-0.75,-0.77%,0.37 M,85.27 - 115.08
