Index Holdings and weightings as of 6:41 PM ET 09/20/2023,,,,,,,
Symbol,Company Name,Index Weight,Last,Change,%Change,Volume,52 Week Range
AAPL,Apple Inc.,23.45%,175.14,-0.35,-0.20%,38.38 M,124.17 - 198.23
MSFT,Microsoft Corp,22.85%,322.47,+1.70,+0.53%,22.41 M,213.43 - 366.78
NVDA,Nvidia Corp,4.32%,414.47,-7.92,-1.88%,31.42 M,108.13 - 502.66
AVGO,Broadcom Inc,4.23%,816.52,-14.05,-1.69%,3.85 M,415.07 - 923.67
ADBE,Adobe Inc.,3.02%,518.21,-17.58,-3.28%,2.23 M,274.73 - 570.24
CSCO,Cisco Systems Inc,2.79%,53.21,-2.29,-4.13%,21.34 M,38.61 - 58.19
CRM,"Salesforce, Inc.",2.56%,209.36,-3.67,-1.72%,2.52 M,126.34 - 238.22
ACN,Accenture plc A,2.47%,314.17,-2.63,-0.83%,0.86 M,242.80 - 330.44
ORCL,Oracle Corp,2.19%,110.81,-2.06,-1.83%,5.59 M,60.78 - 127.54
AMD,Advanced Micro Devices,2.00%,96.86,-3.48,-3.47%,40.47 M,54.57 - 132.83
TXN,Texas Instruments Inc,1.82%,161.26,-0.85,-0.52%,1.78 M,145.97 - 188.12
INTU,Intuit Inc,1.81%,512.06,-11.53,-2.20%,0.7 M,352.63 - 558.64
INTC,Intel Corp,1.79%,34.88,+0.19,+0.55%,25.88 M,24.59 - 40.07
IBM,Intl Business Machines Corp,1.69%,148.39,-1.44,-0.96%,2.6 M,115.55 - 153.21
QCOM,QUALCOMM Inc,1.51%,108.79,-0.43,-0.39%,3.27 M,101.47 - 139.94
NOW,ServiceNow Inc.,1.44%,555.10,-15.46,-2.71%,0.61 M,337.00 - 614.36
AMAT,Applied Materials Inc,1.42%,135.91,-1.06,-0.77%,2.46 M,71.12 - 155.26
ADI,Analog Devices Inc,1.09%,174.60,-1.48,-0.84%,1.34 M,133.48 - 200.10
LRCX,Lam Research Corp,1.02%,613.65,-5.21,-0.84%,0.61 M,299.59 - 726.53
MU,Micron Technology Inc,0.94%,68.53,-1.15,-1.65%,7.91 M,48.43 - 74.77
PANW,Palo Alto Networks Inc.,0.89%,229.45,-5.86,-2.49%,1.6 M,132.22 - 258.88
SNPS,Synopsys Inc,0.85%,447.71,-5.57,-1.23%,0.36 M,267.00 - 471.15
CDNS,Cadence Design Systems Inc,0.79%,230.55,-3.65,-1.56%,0.53 M,138.76 - 248.16
KLAC,KLA Corporation,0.76%,446.68,-5.50,-1.22%,0.51 M,250.20 - 520.19
ROP,"Roper Technologies, Inc",0.66%,498.84,-5.32,-1.05%,0.19 M,356.22 - 508.90
APH,Amphenol Corp A,0.62%,83.94,-0.87,-1.03%,1.19 M,65.21 - 90.28
NXPI,NXP Semiconductor NV,0.62%,194.73,-0.24,-0.12%,0.6 M,132.08 - 225.57
MSI,Motorola Solutions Inc,0.59%,280.48,-5.26,-1.84%,0.22 M,212.76 - 299.43
ANET,Arista Networks Inc,0.57%,178.66,-4.09,-2.24%,0.98 M,98.20 - 198.70
ADSK,Autodesk Inc,0.55%,205.65,-2.09,-1.00%,0.66 M,179.61 - 233.69
MCHP,Microchip Technology Inc,0.52%,76.71,-0.01,-0.01%,2.17 M,54.77 - 94.30
ON,On Semiconductor Corp,0.49%,91.56,-1.28,-1.38%,2.4 M,54.93 - 111.35
TEL,TE Connectivity Ltd.,0.49%,124.16,-1.28,-1.02%,0.5 M,104.76 - 146.60
FTNT,Fortinet Inc,0.48%,59.27,-0.88,-1.46%,2.21 M,42.61 - 81.24
CTSH,Cognizant Tech Solutions Corp,0.43%,69.77,+0.26,+0.37%,1.02 M,51.33 - 72.71
IT,Gartner Inc,0.35%,353.09,-4.13,-1.16%,0.19 M,272.58 - 377.88
CDW,CDW Corp,0.35%,206.01,-2.99,-1.43%,0.16 M,147.91 - 215.70
ANSS,ANSYS Inc,0.33%,304.08,-6.13,-1.98%,0.11 M,194.23 - 351.23
GLW,Corning Inc,0.30%,31.13,-0.50,-1.57%,1.4 M,28.98 - 37.10
KEYS,Keysight Technologies Inc,0.29%,130.44,-2.10,-1.58%,0.71 M,125.89 - 189.45
HPQ,HP Inc,0.29%,27.00,-0.06,-0.22%,2.66 M,24.08 - 33.90
FICO,Fair Isaac & Co Inc,0.28%,896.80,-7.07,-0.78%,0.09 M,389.84 - 916.41
HPE,Hewlett Packard Enterprise Co,0.27%,17.00,-0.11,-0.61%,4.15 M,11.90 - 18.14
MPWR,Monolithic Power Systems,0.27%,443.60,-9.27,-2.05%,0.26 M,301.69 - 595.98
TDY,Teledyne Technologies Inc,0.24%,414.48,-4.66,-1.11%,0.11 M,325.00 - 448.71
FSLR,First Solar Inc,0.22%,167.29,-1.95,-1.15%,0.74 M,115.66 - 232.00
VRSN,VeriSign Inc,0.22%,200.88,+0.13,+0.06%,0.27 M,169.24 - 229.72
PTC,PTC Inc,0.21%,142.24,-0.65,-0.45%,0.32 M,101.82 - 152.09
ENPH,Enphase Energy Inc,0.21%,125.47,+1.50,+1.21%,2.47 M,116.86 - 339.92
TYL,Tyler Technologies Inc,0.20%,387.83,-4.70,-1.20%,0.1 M,281.11 - 426.83
AKAM,Akamai Technologies Inc,0.20%,108.77,+0.28,+0.26%,1.87 M,70.65 - 109.05
NTAP,NetApp Inc,0.20%,76.20,+0.12,+0.16%,0.72 M,58.08 - 80.53
EPAM,EPAM Systems Inc,0.19%,260.08,-6.92,-2.59%,0.23 M,197.99 - 398.41
SWKS,Skyworks Solutions Inc,0.19%,96.61,+0.28,+0.29%,0.76 M,76.16 - 123.69
TER,Teradyne Inc,0.18%,96.02,+0.03,+0.03%,0.47 M,67.81 - 119.20
WDC,Western Digital Corp,0.18%,44.70,-0.95,-2.08%,2.01 M,29.73 - 46.89
TRMB,Trimble Inc,0.16%,51.01,-1.27,-2.42%,0.48 M,45.43 - 62.40
STX,Seagate Technology,0.16%,65.92,+0.29,+0.44%,1.34 M,47.47 - 74.51
ZBRA,Zebra Technologies Corp,0.15%,231.23,-4.61,-1.95%,0.28 M,224.87 - 351.74
GEN,Gen Digital Inc.,0.13%,19.18,+0.03,+0.13%,1.32 M,15.45 - 23.92
FFIV,"F5, Inc.",0.12%,157.58,-3.14,-1.95%,0.11 M,127.05 - 167.89
QRVO,"Qorvo, Inc",0.12%,95.16,-0.05,-0.05%,0.39 M,75.38 - 114.59
JNPR,Juniper Networks Inc,0.11%,27.86,-0.36,-1.28%,1.3 M,25.18 - 34.53
SEDG,SolarEdge Technologies Inc,0.10%,137.87,-1.33,-0.96%,0.73 M,135.72 - 345.80
DXC,DXC Technology Company,0.05%,20.57,+0.02,+0.07%,1.36 M,18.61 - 30.27
