Index Holdings and weightings as of 6:41 PM ET 09/20/2023,,,,,,,
Symbol,Company Name,Index Weight,Last,Change,%Change,Volume,52 Week Range
NEE,NextEra Energy Inc,14.43%,67.27,-0.09,-0.13%,4.99 M,65.36 - 88.61
SO,Southern Co,8.22%,70.22,-0.99,-1.38%,1.69 M,58.85 - 78.22
DUK,Duke Energy Corp,7.70%,94.03,-0.34,-0.36%,1.65 M,83.76 - 106.87
SRE,Sempra,4.89%,72.63,-0.71,-0.96%,0.93 M,68.27 - 86.17
AEP,American Electric Power,4.39%,80.45,-0.01,-0.01%,1.55 M,75.47 - 101.12
EXC,Exelon Corp,4.30%,40.76,-0.08,-0.18%,3.55 M,35.19 - 44.37
D,Dominion Energy Inc,4.25%,47.69,-0.29,-0.59%,2.25 M,45.77 - 81.31
PCG,PG&E Corporation,3.85%,17.23,-0.18,-1.01%,5.91 M,12.13 - 18.19
CEG,Constellation Energy Corp,3.75%,110.08,-0.06,-0.05%,0.58 M,71.16 - 112.68
XEL,Xcel Energy Inc,3.50%,59.81,-0.15,-0.25%,2.51 M,55.11 - 74.59
ED,Consolidated Edison Inc,3.34%,91.68,+0.18,+0.20%,0.74 M,78.10 - 100.92
PEG,Public Service Enterprise Grp,3.21%,61.03,+0.33,+0.54%,0.92 M,52.51 - 66.32
WEC,WEC Energy Group Inc,2.91%,87.02,-0.14,-0.16%,0.52 M,80.82 - 102.49
EIX,Edison Intl,2.83%,69.51,-0.24,-0.34%,1.2 M,54.45 - 74.92
AWK,American Water Works Co Inc,2.83%,135.19,-2.01,-1.47%,0.42 M,122.77 - 162.59
ES,Eversource Energy,2.36%,64.52,+0.56,+0.87%,1.08 M,60.37 - 89.84
DTE,DTE Energy Co,2.33%,107.10,+0.42,+0.39%,0.63 M,100.07 - 130.26
AEE,Ameren Corp,2.24%,80.68,+0.24,+0.30%,0.39 M,73.28 - 93.01
ETR,Entergy Corp,2.20%,97.73,-0.48,-0.49%,0.34 M,91.80 - 120.78
PPL,PPL Corp,2.00%,25.47,-0.20,-0.78%,1.91 M,23.47 - 31.74
FE,FirstEnergy Corp,2.00%,36.27,-0.30,-0.81%,1.12 M,34.69 - 43.31
CNP,Centerpoint Energy Inc,1.93%,28.65,-0.18,-0.61%,2.29 M,25.03 - 33.50
ATO,Atmos Energy Corp,1.79%,112.69,-1.47,-1.29%,0.23 M,97.71 - 125.28
CMS,CMS Energy Corp,1.76%,56.83,-0.01,-0.02%,1.47 M,52.41 - 67.79
LNT,Alliant Energy Corp,1.39%,51.67,-0.33,-0.63%,0.6 M,47.19 - 62.05
EVRG,Evergy Inc.,1.32%,54.32,-0.03,-0.06%,1.58 M,52.28 - 67.66
NI,Nisource Inc,1.21%,27.49,-0.10,-0.36%,1.91 M,23.78 - 29.44
AES,AES Corp,1.19%,16.66,-0.13,-0.77%,2.25 M,16.74 - 29.89
PNW,Pinnacle West Capital (AZ),0.95%,79.34,-0.16,-0.20%,0.17 M,59.03 - 86.03
NRG,NRG Energy,0.94%,38.36,-0.53,-1.36%,0.94 M,30.25 - 45.80
